n1,40/60,40/60,40.0/60.0,39.9682706284/60.1600350838,39.8716893486/60.4987901961,39.7017739127/61.0151796369,39.4591212523/61.6984914122,39.1475641702/62.5333585331,38.7720927023/63.5026610414,38.3381377969/64.589361438,37.8513004106/65.7775954482,37.3172059509/67.0532061153,36.7413899738/68.4039003611,36.1291984216/69.8191852177,35.485706623/71.2901975368,34.8156626462/72.8094966567,34.1234566973/74.3708564775,33.4131142927/75.9690730769,32.6883084047/77.599793136,31.9523847422/79.2593633409,31.2083943498/80.9446989149,30.4591283434/82.6531689797,29.7071505063/84.3824967119,28.9548244853/86.1306728524,28.204333376/87.8958818114,27.4576905844/89.6764402391,26.7167419823/91.4707483506,25.9831604935/93.2772543996,25.2584352214/95.0944323985,24.543857882/96.9207725399,23.8405094804/98.7547829229,23.1492498106/100.595000398,22.4707115726/102.44000786,21.8052999325/104.288455308,21.1531975073/106.13908245,20.5143742737/107.99074134,19.8886018919/109.842418256,19.2754723142/111.693254419,18.6744210748/113.542565027,18.0847559872/115.389855484,17.5056917749/117.23483278,16.936390255/119.077409251,16.3760041909/120.917695875,15.8237212912/122.755983246,15.2788037225/124.59271036,14.7406185199/126.428423815,14.2086555998/128.263732217,13.6825323409/130.099261522,13.1619861287/131.935616631,12.646858094/133.773352877,12.1370720618/135.612958805,11.6326124874/137.45484965,11.1335042229/139.299369512,10.6397957886/141.146799642,10.1515467575/142.997370328,9.66881909437/144.851274296,9.1916718472/146.708680184,8.72015841851/148.569745213,8.2543256471/150.434626655,7.79421403228/152.30349205,7.33985856466/154.176528327,6.89128975615/156.053950108,6.44853456584/157.936007547,6.0116169929/159.822994068,5.58055815083/161.715254379,5.15537565143/163.613193158,4.73608211456/165.517284826,4.32268257986/167.428084842,3.91517052779/169.346243052,3.5135221131/171.272519698,3.11768806357/173.20780485,2.72758248171/175.153142236,2.34306747895/177.10975875,1.96393212409/179.07910137,1.58986352413/181.06288388,1.22040685111/183.063146809,0.854909563576/185.082335602,0.492442552092/187.123404652,0.131686722164/189.189959279,-0.229233866146/191.286455645,-0.59300488249/193.418493503,-0.963520322518/195.59326629,-1.34654453058/197.820296593,-1.75089210656/200.112733277,-2.19074389578/202.48987332,-2.69085289197/204.982741092,-3.30084486708/207.648923901,-4.1498819554/210.625564246,-5.86715044469/214.472857802,-23.3672691153/182.863248756,-32.5691668403/167.79345837,-37.4778006742/161.112442,-40.2583101252/158.628604275,-41.9817874589/158.245493522,-43.1793898495/158.913584536,-44.1144836919/160.107609681,-44.9176519539/161.564733309,-45.653642661/163.153448357,-46.3545620273/164.807961027,-47.036332111/166.495357847,-47.7068508472/168.199177397
n2,30/50,30/50,30.0/50.0,29.827413567/50.0195542147,29.4513740759/50.0777392572,28.871256651/50.1789867964,28.0993140402/50.3227350247,27.15306786/50.5069644127,26.0516203261/50.7293545817,24.813726477/50.9875907245,23.456809776/51.2794152849,21.9965385221/51.6026355055,20.4467298769/51.9551447223,18.819428273/52.334960671,17.1250641825/52.7402696471,15.3726415212/53.1694656845,13.5699282092/53.6211781317,11.7236385565/54.0942849554,9.83960283241/54.5879116482,7.92292209546/55.101416859,5.97810719014/55.6343662581,4.00920081716/56.1864962075,2.01988131259/56.7576689087,0.0135465460537/57.3478210976,-2.00662355794/57.9569090794,-4.03762674438/58.5848538203,-6.0766200026/59.2314906131,-8.12092079615/59.8965281293,-10.168023756/60.5795211272,-12.2156269668/61.2798596144,-14.2616611301/61.9967750749,-16.3043151742/62.7293619717,-18.3420532683/63.4766107146,-20.3736203048/64.2374471016,-22.3980352025/65.0107731008,-24.4145733355/65.7955045781,-26.4227406838/66.5906028887,-28.4222428421/67.3950987153,-30.4129519334/68.2081078507,-32.3948739632/69.0288395905,-34.3681184448/69.8565989845,-36.3328714156/70.6907844223,-38.2893723543/71.5308820175,-40.2378950536/72.376458073,-42.1787322014/73.2271506732,-44.1121832607/74.0826611908,-46.0385451692/74.9427462582,-47.9581053869/75.8072105606,-49.8711368569/76.6759006398,-51.7778945053/77.5486997831,-53.6786129618/78.4255239762,-55.5735052384/79.3063188494,-57.4627621454/80.1910575103,-59.3465522636/81.0797391566,-61.2250223209/81.9723883671,-63.0982978551/82.8690549931,-64.9664840689/83.7698145974,-66.829666811/84.6747694143,-68.6879136436/85.584049832,-70.5412749755/86.4978164207,-72.3897852663/87.4162625563,-74.2334643243/88.3396177109,-76.0723187439/89.2681515072,-77.9063435509/90.2021786621,-79.7355241502/91.14206498,-81.5598387062/92.0882345966,-83.3792611266/93.041178729,-85.1937648796/94.0014662553,-87.0033279536/94.9697565383,-88.8079393749/95.9468150257,-90.6076078489/96.933532322,-92.4023733047/97.9309476489,-94.1923224263/98.9402779218,-95.9776096942/99.9629541193,-97.7584861221/101.000667281,-99.5353388661/102.055427473,-101.308746442/103.129640644,-103.079556785/104.226210855,-104.848999592/105.348679777,-106.618851725/106.50142313,-108.391688118/107.689938441,-110.171277598/108.921287775,-111.963240867/110.204821849,-113.776224175/111.553458618,-115.624204995/112.986172385,-117.53167941/114.533508672,-119.547926585/116.252271353,-121.801600228/118.278076892,-124.921219179/121.166800482,-143.850001927/88.5505684778,-154.638673886/72.2667070132,-161.058879899/64.4757593178,-165.314586586/60.9374527013,-168.495654741/59.5282838966,-171.142062754/59.1852750005,-173.52148493/59.376473208,-175.76665558/59.8357163775,-177.943416044/60.4298355591,-180.084441417/61.0921990396,-182.205961584/61.7894633289,-184.316052008/62.5049393214
n3,40/40,40/40,40.0/40.0,39.9678410168/39.8793196115,39.8704385661/39.659958899,39.6989934678/39.3546832602,39.4534989034/38.9747450401,39.1369607324/38.5316932378,38.7533889905/38.0370269319,38.3071505414/37.5013999309,37.8027522628/36.9340384785,37.2447282599/36.34251242,36.6375389977/35.7327865518,35.9854717595/35.1094312335,35.2925529981/34.4758930492,34.5624829858/33.8347637117,33.7985975911/33.1880166157,33.0038568484/32.537200618,32.1808567878/31.8835914807,31.331859619/31.228306081,30.4588371998/30.5723856141,29.563523132/29.9168533967,28.6474693713/29.2627516411,27.7121036853/28.6111603485,26.758784569/27.9632006093,25.7888504247/27.3200242347,24.8036600491/26.6827917771,23.8046219005/26.0526415032,22.7932103286/25.4306525652,21.7709679663/24.8178062431,20.7394947411/24.2149494638,19.7004253287/23.622764656,18.6553981166/23.0417492762,17.6060196421/22.4722070792,16.553828782/21.9142516015,15.5002646149/21.36782071,14.4466409327/20.832699769,13.3941290838/20.308550253,12.3437494942/19.7949405305,11.2963711112/19.2913759676,10.2527172928/18.7973262336,9.21337636219/18.3122485137,8.17881507517/17.835606079,7.14939350362/17.3668822447,6.12538018795/16.9055901363,5.1069667713/16.4512789117,4.09428163044/16.003537177,3.0874022443/15.5619943369,2.0863661898/15.1263205532,1.09118074635/14.6962258758,0.101831144873/14.2714589895,-0.881712466654/13.8518058909,-1.85948924314/13.4370887052,-2.83154293057/13.0271647662,-3.79791809348/12.6219260305,-4.75865715032/12.2212988645,-5.71379809121/11.8252442303,-6.66337276619/11.4337582988,-7.60740565117/11.0468735238,-8.54591302092/10.6646602274,-9.47890248224/10.2872287596,-10.4063728456/9.91473231569,-11.3283143397/9.54737051454,-12.2447092008/9.18539386935,-13.1555327017/8.82910931178,-14.0607547214/8.4788869725,-14.9603420033/8.13516847241,-15.8542613129/7.79847704549,-16.7424837815/7.46942990325,-17.6249908377/7.14875336775,-18.5017822737/6.83730145996,-19.3728872099/6.53607884886,-20.2383790242/6.24626937517,-21.0983957502/5.96927180569,-21.953168106/5.70674512809,-22.8030583044/5.46066668965,-23.6486143416/5.23340804664,-24.4906469534/5.02783594386,-25.3303405994/4.84745018956,-26.169417157/4.69657794159,-27.0103845807/4.5806584881,-27.8569296582/4.50668168621,-28.7145715628/4.48390555532,-29.5918286949/4.52512426689,-30.5025128673/4.64913841079,-31.4708950195/4.88623187164,-32.5459217054/5.29276686147,-33.8556711098/6.00343854121,-36.027266493/7.57102302715,-54.0063060377/-26.4299379868,-63.5484755951/-43.9564377022,-68.8493800239/-53.0775163671,-72.0615230289/-57.9795180475,-74.2396814229/-60.7649821231,-75.9044543979/-62.4888867788,-77.313447343/-63.6799391452,-78.5942962442/-64.6029248622,-79.810288507/-65.3904214205,-80.9928241652/-66.1088151146,-82.1574958651/-66.7913606904,-83.3120591196/-67.4547298999
n4,50/50,50/50,50.0/50.0,50.0857142771/50.0046591234,50.220601701/50.0330997998,50.3878172929/50.0896189316,50.5756433388/50.1729650136,50.7732798756/50.279854424,50.9704193507/50.4062103599,51.1578161347/50.547558732,51.3278141792/50.6991483036,51.474580723/50.8560038881,51.5940930559/51.0129787277,51.6839955807/51.1648202848,51.7434259743/51.3062490538,51.7728695802/51.4320493032,51.7740657881/51.5371736383,51.7499648878/51.6168655453,51.7047175367/51.6668039432,51.6436692411/51.683270753,51.5733277444/51.6633367879,51.501271747/51.6050537225,51.4359754784/51.5076320147,51.3865356061/51.371578634,51.3623039606/51.1987666963,51.372449057/50.9924135177,51.4254872608/50.7569545863,51.5288360103/50.4978168369,51.6884430549/50.2211117846,51.908536012/49.9332830462,52.1915176894/49.6407497738,52.5380092773/49.3495858889,52.9470215122/49.0652657269,53.416218233/48.7924928671,53.9422299865/48.5351144316,54.5209772791/48.2961112895,55.1479712971/48.0776472595,55.818571082/47.8811577954,56.5281872035/47.7074598018,57.2724309007/47.5568676851,58.0472136488/47.4293050501,58.8488052609/47.3244055556,59.6738595932/47.2415997539,60.5194164533/47.1801870865,61.3828871287/47.1393936673,62.2620295285/47.1184172701,63.1549175604/47.1164612822,64.0599081685/47.132759474,64.9756084573/47.1665933889,65.9008445059/47.2173040352,66.8346328232/47.2842993834,67.7761548904/47.3670589617,68.7247348776/47.4651366113,69.67982038/47.578162237,70.6409658906/47.7058431908,71.6078186589/47.8479657639,72.5801065748/48.0043971448,73.5576277274/48.1750881247,74.5402413085/48.3600767887,75.5278595515/48.5594934173,76.5204404091/48.7735668341,77.5179806726/49.0026324622,78.5205092247/49.247142405,79.5280800829/49.5076779299,80.5407648394/49.7849648308,81.5586440148/50.0798922623,82.5817967228/50.3935358005,83.6102878632/50.7271856958,84.6441518047/51.0823815689,85.6833711581/51.460955188,86.7278487119/51.865083505,87.7773698399/52.2973548956,88.8315515535/52.7608526629,89.8897726545/53.2592615378,90.9510767745/53.7970054991,92.0140358139/54.3794293919,93.0765541886/55.0130437702,94.1355819405/55.705864531,95.1866821338/56.4679012244,96.2233537711/57.3118913749,97.2359184501/58.2544685774,98.2095644142/59.3181560974,99.1205869322/60.5350863942,99.9282010111/61.9547935116,100.553187737/63.6633545816,100.804001414/65.843131989,99.9434924443/69.055693109,84.193944621/75.7439166908,84.2152100772/77.8986355559,68.1977285744/44.6945392428,60.4104081343/27.8605256851,56.9535899121/19.4893623799,55.6296416676/15.3675528732,55.3598220098/13.3772793363,55.6115681853/12.4564504077,56.1213969203/12.073050709,56.758829187/11.9607348952,57.4592312161/11.9861807649,58.190589721/12.082643061,58.9370561177/12.2166927888,59.6907921054/12.3715732341
n5,90/90,90/90,90.0/90.0,89.9664252952/90.0952090778,89.8661762211/90.3045325144,89.6906484238/90.6311955624,89.4401095491/91.0721350771,89.1178629644/91.6216753886,88.7282285902/92.2729782588,88.2759062126/93.0186789139,87.7657757881/93.8512429524,87.2028006744/94.7632237362,86.5919389855/95.7474674529,85.9380525741/96.7972717562,85.2458254888/97.9064966018,84.5197037265/99.0696286896,83.7638620658/100.281804737,82.9821979238/101.538800942,82.1783482482/102.836996291,81.3557234136/104.173316468,80.5175513349/105.545163757,79.6669249723/106.950337055,78.806846713/108.386945351,77.940263672/109.853317832,77.0700888491/111.347914249,76.1992044889/112.869239979,75.330446027/114.415771005,74.4665676062/115.985894342,73.6101929476/117.57786879,72.7637578245/119.189809218,71.9294518882/120.819694941,71.1091677152/122.465399766,70.3044636295/124.124738585,69.516544427/125.79552363,68.7462612203/127.475623024,67.9941288883/129.163015025,67.2603575822/130.855833038,66.5448936662/132.552398533,65.8474653171/134.251241034,65.167628585/135.951105926,64.5048107091/137.650951892,63.8583486198/139.349940275,63.2275216182/141.047418761,62.6115780792/142.742901577,62.0097566081/144.436048077,61.4213024053/146.126641237,60.8454796909/147.814567206,60.2815809788/149.499796747,59.7289338531/151.18236906,59.1869057393/152.862378231,58.6549070341/154.539962302,58.1323928732/156.215294778,57.6188637678/157.888578311,57.1138653202/159.560040228,56.6169872173/161.229929603,56.1278616815/162.898515587,55.6461615421/164.566086797,55.1715980595/166.232951591,54.703918603/167.899439138,54.2429042502/169.565901228,53.7883673447/171.232714816,53.3401490144/172.900285325,52.8981166263/174.569050786,52.4621611207/176.239486903,52.0321941364/177.912113196,51.608144801/179.587500407,51.1899560135/181.266279411,50.7775799882/182.949151949,50.3709727486/184.636903575,49.9700871523/186.330419366,49.5748638773/188.030703046,49.1852195878/189.738900455,48.8010311945/191.456328561,48.4221146821/193.184511679,48.0481963197/194.925227206,47.6788730762/196.680564175,47.3135575066/198.452999504,46.9513998753/200.245499365,46.5911760904/202.061657456,46.2311226694/203.905889688,45.8686863324/205.783719426,45.5001288448/207.702216449,45.1198699751/209.670715178,44.7193152563/211.702083394,44.2845527775/213.815193049,43.7911707507/216.040395918,43.1900049787/218.434106174,42.3525812141/221.130956301,40.6504423882/224.68205027,22.8492499863/192.721541769,13.5642152794/177.243492975,8.45843303212/170.17428723,5.4276572429/167.317036251,3.427901449/166.570324626,1.94084088106/166.881032962,0.709279327867/167.721739618,-0.394400011707/168.82842438,-1.43353623493/170.068955154,-2.43958877592/171.377215053,-3.42820774705/172.720125837,-4.40720416658/174.081143682
n6,80/70,80/70,80.0/70.0,79.9216531852/69.9954113651,79.7326588365/70.0060992213,79.4266901764/70.0384548195,79.0073368968/70.0945861762,78.4819681124/70.1756653209,77.8594289168/70.2829870023,77.1491205913/70.4182041106,76.3605319847/70.5833163679,75.502900849/70.7806178878,74.5849150472/71.0126594978,73.6144407113/71.2822256868,72.5982836898/71.5923088813,71.5419917253/71.9460620008,70.4497031078/72.3467141113,69.3240478061/72.7974398764,68.166109483/73.3011805136,66.9754595539/73.8604221446,65.7502751482/74.4769467035,64.4875492961/75.151580013,63.1833928022/75.8839693031,61.8334138239/76.6724256815,60.4331459923/77.5138634811,58.978483325/78.4038571274,57.4660745613/79.3368187188,55.8936334405/80.3062797854,54.260134408/81.30524368,52.5658818906/82.3265650554,50.8124607241/83.363311889,49.0025909578/84.4090727656,47.1399192548/85.4581847506,45.2287808553/86.5058714933,43.2739617721/87.548293994,41.2804827773/88.5825257984,39.2534172353/89.6064697272,37.1977460396/90.6187352087,35.1182463151/91.6184949524,33.0194069863/92.6053381223,30.9053639382/93.579134858,28.7798497318/94.5399238952,26.6461564263/95.4878308871,24.5071133216/96.4230198111,22.3650828738/97.3456743032,20.2219770157/98.2560011843,18.0792931926/99.1542461182,15.9381660226/100.040711762,13.7994280895/100.915771384,11.66367276/101.779874485,9.53131298941/102.633544152,7.40263212375/103.47736801,5.27782490312/104.311985454,3.15702865147/105.13807377,1.04034576596/105.956335138,-1.07214086517/106.767485751,-3.18035781715/107.572247644,-5.2842349448/108.37134334,-7.38370184781/109.165493154,-9.47868608417/109.955414854,-11.5691125073/110.741825362,-13.6549033265/111.525444218,-15.7359786603/112.306998582,-17.8122574838/113.087229659,-19.8836589642/113.866900513,-21.9501042618/114.646805316,-24.0115189424/115.427780189,-26.0678362194/116.210715888,-28.1190013343/116.996572696,-30.1649774914/117.786398038,-32.2057539171/118.581347489,-34.2413568231/119.382710101,-36.2718643587/120.191939269,-38.2974270736/121.010690847,-40.3182960729/121.840870851,-42.3348620355/122.68469612,-44.3477098264/123.544772898,-46.3576959353/124.424200869,-48.3660601799/125.326714586,-50.3745904865/126.256882102,-52.3858732593/127.220395311,-54.4036889715/128.224515936,-56.4336707879/129.278804098,-58.4844813537/130.396403603,-60.5701290549/131.596542517,-62.7151919415/132.910071401,-64.9692356486/134.39421417,-67.4624346605/136.185458992,-70.8543406932/138.862900857,-90.0186239313/105.856101301,-100.884547201/89.3179899957,-107.448822308/81.1881649717,-111.887646924/77.2742238716,-115.272493277/75.471881936,-118.133358224/74.726140412,-120.732785735/74.5086146542,-123.200932945/74.5548384141,-125.60236513/74.7324971131,-127.969136021/74.9754203488,-130.317181982/75.2505376117,-132.654448938/75.5413407413
n7,100/70,99.9343613657/70.0385348585,99.9343613657/70.0385348585,99.9508347709/70.0288766227,99.9666871137/70.0195702265,99.9766556482/70.0136616376,99.9795011482/70.0118252805,99.9751793875/70.0140351481,99.9639411922/70.0200959478,99.9461165579/70.0297675264,99.922098924/70.0427700315,99.8923590226/70.058771922,99.8574413914/70.0773891855,99.8179408994/70.0981975489,99.7744686951/70.1207522006,99.7276171281/70.1446094929,99.677929977/70.1693470938,99.6258810763/70.1945810567,99.5718622101/70.2199795888,99.5161799329/70.2452738539,99.4590604652/70.2702660944,99.4006615852/70.2948349368,99.341090182/70.3189372182,99.280423697/70.3426053167,99.2187330868/70.3659390202,99.1561044245/70.3890915618,99.0926561233/70.4122504968,99.028549266/70.4356153186,98.963989687/70.4593746564,98.8992220062/70.4836861996,98.8345173188/70.5086619951,98.7701572503/70.5343606289,98.7064173569/70.5607864211,98.6435524329/70.5878945495,98.5817854166/70.6156002642,98.5213006052/70.6437901434,98.4622410347/70.6723335747,98.4047093175/70.7010931323,98.3487709557/70.7299330797,98.2944591275/70.7587257101,98.2417800712/70.7873555862,98.1907184066/70.8157219352,98.1412419633/70.8437395373,98.0933058968/70.8713384453,98.0468560447/70.8984628422,98.0018315918/70.9250693081,97.9581671748/70.9511247342,97.9157945633/70.9766040921,97.8746440364/71.0014882339,97.8346455281/71.0257618514,97.7957295838/71.049411674,97.7578281451/71.0724249325,97.7208751694/71.0947880733,97.6848070962/71.1164856806,97.6495631772/71.1374995454,97.6150856968/71.1578078177,97.5813201148/71.1773841798,97.5482151687/71.1961969827,97.5157229723/71.2142082944,97.4837991513/71.2313728094,97.4524030559/71.2476365692,97.4214980959/71.2629354377,97.3910522509/71.277193268,97.3610388197/71.2903196811,97.3314374899/71.3022073553,97.3022358395/71.3127287004,97.2734314144/71.321731744,97.2450345872/71.3290350077,97.217072479/71.3344210654,97.1895943433/71.3376283641,97.1626789874/71.3383407141,97.1364450652/71.3361735947,97.1110654853/71.3306560142,97.0867878226/71.321206002,97.0639636868/71.307096703,97.0430918123/71.2874081233,97.024882869/71.2609560847,97.0103600593/71.226183312,97.001021627/71.1809842865,96.9991171086/71.1224071747,97.0081485624/71.0461111823,97.0338595978/70.9452945964,97.0864131678/70.8083490947,97.1859524895/70.6129841441,97.3801694603/70.3083810647,97.8225840794/69.7413880241,99.4849556929/68.0926361964,130.282223461/137.532312473,113.66786305/104.598122787,105.051529894/87.7924000423,100.785105026/79.3687527193,98.6605411831/75.1524096787,97.5955305377/73.0454980195,97.0554699173/71.9951360613,96.7757288501/71.4736556896,96.6251907818/71.216832933,96.5388631897/71.0924148657,96.4845242204/71.0342158879,96.4461973359/71.009115416,96.4159597276/71.0005392507,96.3898811221/71.0001931377
