n1,9.87182492123+0.363699818345,9.87182492123+0.363699818345,9.87182492123+0.363699818345,8.94896023794+0.27712017342,20.5956829455+2.90137992194,21.4240884026+2.6297434313,22.5151149333+2.24132186006,23.787012116+1.74743958996,25.1714858895+1.20142994099,26.5713393059+0.673821102824,27.7866903489+0.281212563374,27.4008514937+0.635773892712,29.2996582808+1.39890045117,31.240927913+1.44708635711,33.2062088881+1.19245495134,35.1517397836+0.805341424067,37.0566992752+0.358882537323,38.9162027242+-0.108872349703,40.73137636+-0.579396813557,42.5019003448+-1.05904662679,44.230347548+-1.55171284883,45.9614716712+-1.96447688408,47.7352877809+-2.16932384711,49.5011616341+-2.49215629447,51.2996219243+-2.91391709893,53.0629361074+-3.52379013706,54.8149160244+-4.24155480704,56.5704979654+-4.99234825781,58.3337425855+-5.74065157203,60.1048102957+-6.4711896184,61.8826512583+-7.17854192197,63.6660258731+-7.86191029372,65.4538022175+-8.52258592265,67.2449112343+-9.16284830407,69.0378802273+-9.78593366741,70.8243446566+-10.4019741545,72.5784644855+-11.1013972508,74.3543836883+-11.7540801148,76.1480075781+-12.3825290981,77.9569537208+-12.9986160823,79.7795272046+-13.6083577431,81.6143407778+-14.2147513511,83.4601816833+-14.8192272368,85.3159683819+-15.4223999246,87.1807368783+-16.0244600459,89.0536343996+-16.6253802877,90.933913529+-17.2250239268,92.8209255514+-17.8232016348,94.7141135409+-18.4197003141,96.6130061018+-19.0142963494,98.5172127033+-19.606759608,100.426421656+-20.1968510951,102.340402262+-20.7843148729,104.259014022+-21.3688625354,106.182229294+-21.9501445802,108.110186262+-22.527692919,110.043327262+-23.1007839829,111.982888565+-23.6679973625,113.933053398+-24.2238354231,115.757814189+-24.8449291084,117.54444975+-25.5142811353,119.311363467+-26.2054346653,121.067481859+-26.9048936029,122.817161959+-27.6058448263,124.562551115+-28.3049151553,126.304726784+-29.00049642,128.044247413+-29.6918811445,129.781418859+-30.3788171529,131.51642334+-31.0612785622,133.249381893+-31.7393484543,134.98038466+-32.4131591169,136.709505601+-33.0828619091,138.436809661+-33.7486123294,140.162356285+-34.410562854,141.886201157+-35.0688597178,143.608397086+-35.7236416738,145.328994477+-36.3750397248,147.048041589+-37.0231773152,148.765584711+-37.6681707243,150.481668275+-38.3101295325,152.19633495+-38.949157098,153.909625728+-39.5853510153,155.621579993+-40.2188035434,157.332235593+-40.849602,159.041628907+-41.4778291222,160.749794905+-42.103563395,162.456767211+-42.7268793513,164.16257816+-43.3478478446,165.867258856+-43.9665362982,167.570839222+-44.5830089336,169.273348053+-45.1973269783,170.974813065+-45.8095488576,172.675260941+-46.41973037,174.37471738+-47.0279248488,176.073207132+-47.6341833113,177.770754047+-48.2385545959,179.467381108+-48.8410854893,181.163110471+-49.4418208441,182.857963501+-50.0408036879,184.551960805+-50.6380753242,186.245122263+-51.2336754269
n2,5.67282741511+6.56437176828,5.67282741511+6.56437176828,5.67282741511+6.56437176828,5.70269848251+6.68631512075,5.80730252898+6.90125385942,5.87063979464+6.94929157651,5.89319775587+7.11731307337,5.77431699813+7.48642461095,5.33615510784+8.11826373635,3.74474242537+9.33136341876,12.9773785145+-7.67684545236,11.0799834675+-9.46545532252,8.84080337736+-11.6705694624,7.46402435979+-14.022099473,6.46063922501+-16.4076711827,5.62474523895+-18.782007419,4.86781622524+-21.1324194441,4.15495724582+-23.4492371476,3.47044500959+-25.7245889188,2.80579808999+-27.9559046455,2.15877453186+-30.1316079007,1.51794831069+-32.2315030683,0.892782940381+-34.2184396635,0.311840906844+-36.2404322702,-0.204239289752+-38.2643164799,-0.764346773382+-40.4919803056,-1.32581058332+-42.8108929563,-1.87359050879+-45.1513196731,-2.40448240694+-47.480134347,-2.91968301141+-49.7828616558,-3.42154817817+-52.0540768366,-3.91233746923+-54.2925480073,-4.39378131738+-56.4988499902,-4.86689814497+-58.6742727912,-5.33167379644+-60.8206153911,-5.78606962321+-62.9431941277,-6.11230228843+-65.0955676081,-6.42642888948+-67.1885220111,-6.73209479312+-69.2448411959,-7.03105980297+-71.2765033792,-7.32458303033+-73.2895861457,-7.61371275181+-75.2869843284,-7.89937784023+-77.2698043621,-8.18241041786+-79.2380730292,-8.46355001764+-81.1910806673,-8.7434459406+-83.1275174189,-9.02266164117+-85.0454755617,-9.30168050745+-86.9423404872,-9.58091089029+-88.8145537072,-9.86068707861+-90.6571834272,-10.1412601183+-92.4631512769,-10.422764028+-94.2217642178,-10.705116134+-95.9156622214,-10.9877098658+-97.5135671613,-11.268277299+-98.949230482,-11.5368044555+-100.035855654,-11.6972871086+-99.740424892,-5.70008354644+-125.340471596,-5.72591254031+-127.417525922,-5.83159654317+-129.595342658,-5.98001372136+-131.823880924,-6.15188856056+-134.077352503,-6.33776842174+-136.342543679,-6.53297755291+-138.612720517,-6.73515411568+-140.884488548,-6.94306023126+-143.156170253,-7.15600674361+-145.426967269,-7.37357481033+-147.696528313,-7.59548092194+-149.964726788,-7.82151128468+-152.231546654,-8.0514897804+-154.497024147,-8.28526219921+-156.761218259,-8.52268837101+-159.02419599,-8.76363814087+-161.286025159,-9.00798922263+-163.546771068,-9.25562597707+-165.806495092,-9.50643865128+-168.065254237,-9.7603228535+-170.323101151,-10.0171791529+-172.580084349,-10.2769127502+-174.836248515,-10.5394331915+-177.091634821,-10.8046541117+-179.346281246,-11.0724930001+-181.600222867,-11.3428709841+-183.853492125,-11.6157126281+-186.106119068,-11.890945746+-188.35813157,-12.1685012264+-190.609555524,-12.4483128684+-192.860415017,-12.7303172286+-195.110732488,-13.0144534772+-197.36052887,-13.3006632632+-199.609823715,-13.5888905876+-201.858635312,-13.8790816847+-204.106980784,-14.1711849101+-206.35487619,-14.4651506359+-208.602336602,-14.7609311514+-210.849376186,-15.0584805699+-213.096008269,-15.3577547413+-215.342245407,-15.658711169+-217.588099436,-15.9613089318+-219.833581529,-16.2655086107+-222.078702244
n3,4.94086104813+0.17236518881,4.94086104813+0.17236518881,4.94086104813+0.17236518881,4.67568361583+0.0629029402741,4.16752514001+-0.239246960816,3.9188710194+-0.748431777637,3.69030413733+-1.43227463415,3.48245982488+-2.23671776543,3.40257084114+-3.06018093637,3.82882443293+-3.73823982641,22.7583497525+-2.63801030814,21.5761760571+-2.50850945048,21.700355961+-2.83832280523,22.1731627872+-3.71880314625,22.6965879807+-4.85582005516,23.1951666442+-6.09566779921,23.6068705947+-7.32173230415,23.8006592569+-8.35943639246,23.0501938716+-8.14515381917,24.7446008051+-9.78353312268,29.4784206439+-12.4500896059,27.6986114272+-12.7310016044,25.4829051424+-11.1188364085,27.5213224228+-12.9448783146,28.0656435402+-14.1085266405,28.5514901115+-15.5146196111,29.0120042869+-17.0314434698,29.4626469449+-18.5826849034,29.9019669551+-20.1311272002,30.3178047474+-21.6586559611,30.6865564703+-23.1546045007,30.962244282+-24.6072360197,31.0331450103+-25.9886577517,30.4664821707+-27.1667443577,21.0970411827+-22.4752994974,22.1305050791+-23.7292165981,23.1761312062+-24.9098980297,24.2101180597+-26.0440965301,25.2315891544+-27.156428616,26.2410650198+-28.2594722411,27.2395492253+-29.3597342027,28.2280753716+-30.460552904,29.2075780181+-31.5635929499,30.1788792796+-32.6696242017,31.142710252+-33.7789336849,32.0997377829+-34.8915463759,33.050587806+-36.0073448833,33.9958641941+-37.1261346191,34.9361646766+-38.247678843,35.8720961882+-39.3717163997,36.8042925902+-40.4979687509,37.7334389804+-41.6261392934,38.6603100977+-42.75590536,39.5858390425+-43.8869003715,40.5112584555+-45.0186779488,41.4384514631+-46.1506335317,42.3711518439+-47.2817911899,43.323403526+-48.409776525,44.0766939868+-49.5137246014,44.7496028239+-50.7172643191,45.3782087052+-51.9706242787,45.9826062081+-53.2473394205,46.5727247075+-54.5338708015,47.1535345696+-55.8233614521,47.727593627+-57.1123926516,48.296280128+-58.3993102784,48.8603903569+-59.6833618892,49.4204289469+-60.9642522888,49.9767504029+-62.2419150454,50.5296284833+-63.5163953673,51.0792905459+-64.7877903507,51.6259348341+-66.0562187424,52.1697394231+-67.3218058517,52.7108670649+-68.5846762106,53.2494679923+-69.8449501751,53.7856816879+-71.1027425115,54.3196381137+-72.3581619658,54.851458643+-73.6113113063,55.3812568181+-74.8622875807,55.9091389951+-76.1111824583,56.4352049104+-77.3580825942,56.9595481864+-78.6030699853,57.4822567879+-79.8462223063,58.0034134367+-81.0876132199,58.5230959902+-82.3273126607,59.0413777867+-83.5653870946,59.5583279626+-84.8018997553,60.0740117433+-86.0369108598,60.5884907102+-87.2704778052,61.1018230466+-88.5026553485,61.6140637645+-89.7334957718,62.1252649129+-90.963049033,62.635475771+-92.1913629057,63.144743026+-93.4184831066,63.6531109379+-94.6444534145,64.160621492+-95.869315779,64.6673145399+-97.0931104223,65.1732279311+-98.3158759329,65.6783976337+-99.5376493529,66.1828578482+-100.758466259,66.686641112+-101.97836084
n4,9.27796111933+0.361281043687,9.27796111933+0.361281043687,9.27796111933+0.361281043687,10.6704780059+0.291121230029,11.6280742798+0.0547263873963,12.0404067424+-0.452918797879,12.5761754209+-1.14970829738,13.1842483409+-2.01436137395,13.8141365011+-2.98547589402,14.4047545587+-3.98301035897,14.8177121667+-4.86583052638,12.7528725378+-3.34133415831,11.2766444013+-2.63966998837,10.2336730763+-2.3138072853,9.37361375651+-2.27351127426,8.508889664+-2.37565007413,7.606951918+-2.51247828562,6.68058036142+-2.63397444753,5.73311526284+-2.71590644029,4.7020457122+-2.75750947772,3.73024081965+-2.72436690693,2.90538955584+-2.68111479583,2.06616960712+-2.57692765007,1.17800166878+-2.46069802235,0.443041104742+-2.37944907137,-0.325295073938+-2.51493845463,-1.08804683067+-2.73833109213,-1.8264942836+-2.98137100472,-2.5352364843+-3.21222521405,-3.21446183013+-3.41739668854,-3.86630157405+-3.59197346486,-4.49337226935+-3.73460455568,-5.09838270329+-3.84474693444,-5.68452801554+-3.92044117857,-6.25875858227+-3.95282050858,-7.00881161667+-3.80504032139,-7.69631496934+-3.60016539928,-8.34060686616+-3.36986481315,-8.94980919106+-3.13450941298,-9.52945193652+-2.9035983979,-10.0836541218+-2.68125281351,-10.6157068813+-2.46890096444,-11.1283409551+-2.26664093073,-11.6238619564+-2.07393407239,-12.104230007+-1.8899579302,-12.5711150657+-1.71378417032,-13.0259402153+-1.54446577262,-13.4699175481+-1.38107651178,-13.9040784208+-1.22272471646,-14.3292988627+-1.06855224985,-14.7463205987+-0.917723498805,-15.155768028+-0.769405053842,-15.5581614145+-0.622732617253,-15.9539265362+-0.476754504428,-16.3434015688+-0.330322707555,-16.7268461647+-0.181839228919,-17.1044937323+-0.0284497419588,-17.4773351406+0.139106780455,-17.8540077746+0.202504714581,-18.3083751109+0.166566165065,-18.8043934592+0.0817496348055,-19.3227249132+-0.0257415255397,-19.8538811298+-0.142530081711,-20.3931622216+-0.26185562479,-20.9381914111+-0.38036178612,-21.4877225829+-0.496438049572,-22.041063092+-0.609364595384,-22.5977939846+-0.718871875336,-23.1576340972+-0.82491428561,-23.7203738268+-0.927554277992,-24.285842677+-1.0269033709,-24.8538932023+-1.1230924236,-25.4243929286+-1.21625691868,-25.9972201692+-1.30652990823,-26.5722617502+-1.39403884513,-27.1494116853+-1.47890436051,-27.7285703258+-1.56123999524,-28.309643761+-1.6411523812,-28.8925433516+-1.71874161807,-29.4771853431+-1.79410171964,-30.063490529+-1.86732106859,-30.65138395+-1.9384828522,-31.2407946197+-2.00766546732,-31.831655274+-2.07494289155,-32.4239021386+-2.14038502097,-33.0174747148+-2.20405797663,-33.6123155802+-2.26602438243,-34.2083702037+-2.32634361738,-34.8055867731+-2.38507204465,-35.4039160356+-2.44226322018,-36.0033111476+-2.49796808272,-36.603727536+-2.55223512749,-37.2051227681+-2.60511056503,-37.8074564299+-2.65663846686,-38.4106900131+-2.7068608992,-39.0147868086+-2.75581804599,-39.6197118077+-2.80354832228,-40.2254316086+-2.85008847885,-40.8319143294+-2.89547369888,-41.4391295269+-2.93973768752,-42.0470481193+-2.98291275484
n5,6.31903064579+3.85467230135,6.31903064579+3.85467230135,6.31903064579+3.85467230135,6.23940667258+3.5283854648,6.17360512401+2.72190046139,6.08056864395+1.50562283987,5.9575635853+-0.105770832552,5.57231545034+-1.9542818163,4.45852062492+-3.66858606442,0.437819713629+-2.80379721351,0.574784222858+-4.226113371,-1.62143002228+-4.81374794254,-2.52186885286+-6.20885595291,-3.09905783211+-7.88210228769,-3.52534587396+-9.6889214574,-3.88843228415+-11.5589768265,-4.22403037235+-13.4505554575,-4.54703191652+-15.3341689337,-4.86280949254+-17.1852369283,-5.1554516738+-18.9460018769,-5.50202598132+-20.6734330526,-5.86840804748+-22.3931949029,-6.23892929157+-24.1401865973,-6.56298785719+-25.8785263458,-7.07456818572+-27.9793007965,-7.59994854891+-30.2806634956,-8.09889458979+-32.6563078156,-8.5602150186+-35.040840398,-8.98242010281+-37.405017878,-9.36745411749+-39.7376976978,-9.71796579525+-42.0362272762,-10.0361939002+-44.3014755866,-10.3234412579+-46.5351228168,-10.5793960683+-48.7375638409,-10.7993002453+-50.9034941921,-10.9300680331+-52.9749846517,-11.0343608954+-54.9903050437,-11.1243096254+-56.9738489733,-11.2029864599+-58.9489267829,-11.2719068293+-60.9278115024,-11.3319511825+-62.9172563345,-11.3837451915+-64.9213071992,-11.4277875257+-66.9427831657,-11.464483108+-68.9840970259,-11.4941441312+-71.0477626432,-11.5169812137+-73.1367795381,-11.5330905389+-75.255017989,-11.5424359578+-77.4077160212,-11.5448214186+-79.6022399445,-11.5398452965+-81.849386049,-11.5268213303+-84.1658297601,-11.5046364849+-86.5792474885,-11.4714874882+-89.140627063,-11.424419884+-91.9605595826,-11.3593750892+-95.3598068669,-11.3076941094+-101.195032611,-18.8299244914+-64.9695597728,-19.1185330653+-66.7097462104,-19.4037066217+-68.4121317134,-19.7613032848+-70.211496979,-20.154670979+-72.0579366782,-20.5651355023+-73.9251653433,-20.9836855256+-75.7998193241,-21.4059857068+-77.6751944047,-21.8299590766+-79.5480090828,-22.254618717+-81.4167342412,-22.6795031091+-83.2807319326,-23.1044032015+-85.1398120385,-23.5292305196+-86.9940046434,-23.9539534959+-88.8434436685,-24.378566804+-90.6883078132,-24.8030766595+-92.5287909577,-25.2274938372+-94.3650876592,-25.6518304111+-96.1973863453,-26.0760982841+-98.0258663961,-26.500308571+-99.850697165,-26.9244713839+-101.67203794,-27.3485958012+-103.490038338,-27.7726899174+-105.304838879,-28.1967609235+-107.116571618,-28.620815195+-108.925360762,-29.0448583785+-110.731323264,-29.4688954716+-112.53456937,-29.8929308947+-114.33520312,-30.3169685559+-116.133322806,-30.7410119084+-117.929021391,-31.165064001+-119.722386892,-31.5891275229+-121.51350272,-32.0132048441+-123.302448006,-32.4372980497+-125.089297883,-32.8614089719+-126.874123755,-33.2855392171+-128.656993541,-33.7096901903+-130.437971896,-34.1338631175+-132.217120418,-34.5580590645+-133.994497838,-34.9822789543+-135.770160193,-35.4065235825+-137.54416099,-35.8307936305+-139.316551354,-36.2550896785+-141.087380165,-36.6794122155+-142.856694189,-37.1037616496+-144.624538197
n6,7.91555750426+4.99072601413,7.91555750426+4.99072601413,7.91555750426+4.99072601413,8.17023773315+4.9534591705,8.744085155+4.81074695718,9.62094225478+4.64722627158,10.694810834+4.31143104669,11.892987723+3.79947176862,13.1544849081+3.15287418306,14.3978202249+2.41636992237,15.4541584173+1.57715613402,15.159370676+1.1829368933,15.9439086209+-0.181536960778,16.9252303832+-1.64848179764,18.2215796966+-3.1073120919,19.8402245686+-4.64335268515,21.9652893958+-6.39594865143,26.8297109578+-9.79127988918,26.6750139133+-10.4557531769,27.0624435065+-11.2114569067,26.1561500089+-11.1269101444,28.7446808801+-12.8395524714,11.9659152429+-12.1057674494,13.3785770993+-13.3100183127,14.8381266562+-14.5172912788,16.2734898437+-15.9598023006,17.7266412531+-17.4983014687,19.2262863256+-19.0583766291,20.7930063537+-20.6039980158,22.4524869431+-22.1179289049,24.2528084661+-23.5901278194,26.3115107278+-25.0074522718,29.0572421329+-26.3191059677,38.058182891+-26.4374282628,38.8787249631+-27.8032633756,40.1709283873+-29.057607371,41.4923776649+-30.2301551689,42.8300364248+-31.3551821719,44.1800021017+-32.4555537053,45.5401132679+-33.5428711554,46.9089751224+-34.6230500986,48.2855168866+-35.6990612648,49.6688282713+-36.7723364903,51.0581021962+-37.8434960366,52.4526142082+-38.9127280678,53.8517119845+-39.9799877221,55.254805793+-41.0451012159,56.6613572512+-42.1078188265,58.0708655744+-43.167839176,59.4828503688+-44.224815826,60.896828632+-45.2783505069,62.3122803872+-46.3279721484,63.7285893208+-47.3730941076,65.1449209074+-48.4129267522,66.5599107645+-49.4462727321,67.9705476486+-50.4708936605,69.3638508823+-51.4798878064,70.8856815695+-52.6970901391,72.4126568053+-53.9002442858,73.8618114087+-55.2018656536,75.2693202527+-56.5514476579,76.6544758909+-57.9228532676,78.0267278667+-59.3027514773,79.3907424797+-60.6844180884,80.7488671096+-62.0645279114,82.102321996+-63.4414988991,83.4517769537+-64.8146380477,84.7976307864+-66.1837014399,86.1401468885+-67.5486681137,87.4795192209+-68.9096242507,88.8159045444+-70.2667042149,90.1494382813+-71.6200608369,91.4802424203+-72.9698507043,92.8084295475+-74.3162271169,94.1341049809+-75.6593369324,95.4573679725+-76.9993193618,96.7783124449+-78.3363057219,98.0970274916+-79.6704196419,99.4135977522+-81.0017774659,100.728103718+-82.330488727,102.040621993+-83.6566566314,103.351225533+-84.9803785218,104.659983854+-86.3017463122,105.966963234+-87.6208468872,107.272226893+-88.9377624674,108.575835164+-90.2525709435,109.877845653+-91.5653461805,111.178313387+-92.8761582951,112.477290956+-94.1850739097,113.774828636+-95.4921563842,115.070974522+-96.7974660286,116.365774635+-98.1010602981,117.659273032+-99.4029939724,118.95151191+-100.703319321,120.242531696+-102.002086255,121.532371142+-103.299342468,122.821067408+-104.595133566,124.108656137+-105.889503189,125.395171536+-107.18249312,126.680646443+-108.474143393,127.965112394+-109.764492383
n7,3.19037862216+9.41800675785,3.29308280408+9.29071651012,3.29308280408+9.29071651012,3.2681140754+9.32186459399,3.26177385565+9.34140228885,3.30787093817+9.33725885383,3.40739067597+9.26058045122,3.60227776801+9.09375362943,4.05015705709+8.77722207506,6.63597709498+7.56589265094,4.36967078997+8.97386708857,3.81090621577+9.27219148201,3.57185989061+9.36141252788,3.49134546417+9.32563118748,3.48104933986+9.22396334544,3.49877737537+9.08271738642,3.528361664+8.9178348213,3.56647427243+8.73607515133,3.64442846185+8.51033005626,3.66887773891+8.35205153744,3.66258960005+8.22850875776,3.61976777848+8.15023366315,3.61069372843+8.03186828728,3.70714072596+8.38714618942,3.73428990852+8.4811914734,3.72585965349+8.44006081419,3.70769585537+8.3379329055,3.69002010759+8.21220513827,3.67595197732+8.08059170533,3.6657749987+7.95085892407,3.6587620985+7.82577452334,3.65381894312+7.70539377749,3.64944960076+7.58753370026,3.64246453096+7.46455817104,3.610738232+7.2566470438,3.60475177706+7.11879867726,3.60632041958+7.02749560656,3.6119262892+6.96021992793,3.61998944056+6.90559574183,3.62981237186+6.85772981578,3.64102790762+6.81354397523,3.65338772183+6.77141823429,3.66668783215+6.73049506881,3.68074628769+6.69031879532,3.69539838449+6.65064637497,3.71049628732+6.61134671974,3.72590871079+6.57234603816,3.74151958681+6.53359714613,3.75722565764+6.4950609427,3.77293304658+6.45669328121,3.78855256534+6.41843249928,3.80399282577+6.38018251145,3.81914858354+6.34178223379,3.83387695786+6.30293709132,3.84793630398+6.26302776645,3.86076743966+6.22036584917,3.86999043286+6.16625518056,4.03563765758+6.32763825363,4.12869777543+6.38865386161,4.18302626727+6.39803139737,4.21828882461+6.38136442554,4.24404604138+6.35184590441,4.26493703822+6.31625301138,4.28322043548+6.27805166914,4.30000261189+6.23900040076,4.31583146625+6.19997873846,4.33098366737+6.16141490386,4.3456037456+6.12350642152,4.35977151378+6.08633377391,4.37353479062+6.04991883885,4.38692531261+6.01425484413,4.39996649373+5.97932164583,4.4126772286+5.94509345694,4.42507377268+5.91154270142,4.43717068676+5.87864188731,4.44898132427+5.8463644731,4.46051809464+5.81468522751,4.47179261551+5.78358033875,4.4828158093+5.75302740378,4.49359797078+5.72300536333,4.50414881917+5.6934944157,4.51447754114+5.66447592546,4.52459282811+5.63593233436,4.53450290956+5.60784707786,4.54421558324+5.58020450835,4.55373824292+5.55298982508,4.56307790395+5.52618901061,4.5722412269+5.49978877311,4.58123453946+5.47377649409,4.59006385678+5.44814018085,4.59873490037+5.42286842324,4.60725311567+5.39795035433,4.61562368838+5.37337561441,4.62385155972+5.34913431813,4.6319414406+5.32521702433,4.63989782488+5.30161470842,4.64772500169+5.27831873688,4.65542706696+5.25532084388,4.66300793425+5.23261310965,4.67047134476+5.21018794045,4.67782087681+5.18803805013
